codigo,comuna,ivan_cepeda,abelardo_de_la_espriella,paloma_valencia,sergio_fajardo,pct_cepeda,pct_ade,pct_paloma,pct_fajardo,ganador,lat,lon
1,Popular,18002,21441,3902,3742,38.2,45.5,8.3,7.9,De La Espriella,6.3005,-75.5518
2,Santa Cruz,13818,19169,3019,3523,35.0,48.5,7.6,8.9,De La Espriella,6.2921,-75.5572
3,Manrique,20630,30126,4915,5468,33.7,49.3,8.0,8.9,De La Espriella,6.2736,-75.5563
4,Aranjuez,21890,35962,5351,6505,31.4,51.6,7.7,9.3,De La Espriella,6.2833,-75.5653
5,Castilla,19128,37015,4957,6692,28.2,54.6,7.3,9.9,De La Espriella,6.2833,-75.5889
6,Doce de Octubre,19609,36137,5554,6357,29.0,53.4,8.2,9.4,De La Espriella,6.3001,-75.5778
7,Robledo,23684,40947,5808,8365,30.1,52.0,7.4,10.6,De La Espriella,6.2934,-75.6005
8,Villa Hermosa,17943,27222,4248,4364,33.4,50.6,7.9,8.1,De La Espriella,6.2417,-75.55
9,Buenos Aires,20838,41057,5625,7225,27.9,54.9,7.5,9.7,De La Espriella,6.2333,-75.5528
10,La Candelaria,17090,34759,6179,4624,27.3,55.5,9.9,7.4,De La Espriella,6.25,-75.5667
11,Laureles-Estadio,11860,49240,7604,7228,15.6,64.8,10.0,9.5,De La Espriella,6.25,-75.5972
12,La América,13668,43928,6308,7007,19.3,61.9,8.9,9.9,De La Espriella,6.2417,-75.5889
13,San Javier,17096,31288,4784,4996,29.4,53.8,8.2,8.6,De La Espriella,6.25,-75.6111
14,El Poblado,5118,61114,10328,5104,6.3,74.8,12.6,6.2,De La Espriella,6.2,-75.5667
15,Guayabal,7170,22334,3164,3470,19.8,61.8,8.8,9.6,De La Espriella,6.2083,-75.5889
16,Belén,22223,81940,11094,12029,17.5,64.4,8.7,9.5,De La Espriella,6.225,-75.6083
