codigo,comuna,ivan_cepeda,abelardo_de_la_espriella,paloma_valencia,sergio_fajardo
01,Popular,18002,21441,3902,3742
02,Santa Cruz,13818,19169,3019,3523
03,Manrique,20630,30126,4915,5468
04,Aranjuez,21890,35962,5351,6505
05,Castilla,19128,37015,4957,6692
06,Doce de Octubre,19609,36137,5554,6357
07,Robledo,23684,40947,5808,8365
08,Villa Hermosa,17943,27222,4248,4364
09,Buenos Aires,20838,41057,5625,7225
10,La Candelaria,17090,34759,6179,4624
11,Laureles-Estadio,11860,49240,7604,7228
12,La América,13668,43928,6308,7007
13,San Javier,17096,31288,4784,4996
14,El Poblado,5118,61114,10328,5104
15,Guayabal,7170,22334,3164,3470
16,Belén,22223,81940,11094,12029
90,Zonas Especiales,5387,19453,2319,1625
98,Cárceles,91,75,16,8
99,Corregimientos,25484,43151,6766,7277
